,arc,flow,time,do,org-phosphorus,phosphate,ammonia,solids,bod,cod,ph,temperature,nitrate,nitrite,org-nitrogen
0,urban_drainage,0.04,2009-03-03,0.0,0.0,3.076923076923077e-07,0.0,0.0,0.0,0.0,0.0,7.625,0.0,0.0,0.0
1,percolation,0.0,2009-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,runoff,0.0,2009-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,storm_outflow,0.04,2009-03-03,0.0,0.0,3.076923076923077e-07,0.0,0.0,0.0,0.0,0.0,7.625,0.0,0.0,0.0
4,baseflow,0.0,2009-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,catchment_outflow,0.04,2009-03-03,0.0,0.0,3.076923076923077e-07,0.0,0.0,0.0,0.0,0.0,7.625,0.0,0.0,0.0
6,reservoir_outflow,0.1,2009-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,gw1_gw2,0.0,2009-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,gw2_gw1,0.25,2009-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,urban_drainage,0.04,2009-03-04,0.0,0.0,9.534127843986998e-07,0.0,0.0,0.0,0.0,0.0,7.625000000000001,0.0,0.0,0.0
10,percolation,0.0,2009-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,runoff,0.0,2009-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,storm_outflow,0.04,2009-03-04,0.0,0.0,9.534127843986998e-07,0.0,0.0,0.0,0.0,0.0,7.625000000000001,0.0,0.0,0.0
13,baseflow,0.0,2009-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,catchment_outflow,0.04,2009-03-04,0.0,0.0,9.534127843986998e-07,0.0,0.0,0.0,0.0,0.0,7.625000000000001,0.0,0.0,0.0
15,reservoir_outflow,0.1,2009-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,gw1_gw2,0.0,2009-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,gw2_gw1,0.24833333333333332,2009-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,urban_drainage,0.010999999999999992,2009-03-05,0.0,0.0,1.7388949079089924e-06,0.0,0.0,0.0,0.0,0.0,7.625000000000001,0.0,0.0,0.0
19,percolation,0.0,2009-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,runoff,0.0,2009-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,storm_outflow,0.010999999999999992,2009-03-05,0.0,0.0,1.7388949079089924e-06,0.0,0.0,0.0,0.0,0.0,7.625000000000001,0.0,0.0,0.0
22,baseflow,0.0,2009-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,catchment_outflow,0.010999999999999992,2009-03-05,0.0,0.0,1.7388949079089924e-06,0.0,0.0,0.0,0.0,0.0,7.625000000000001,0.0,0.0,0.0
