,node,surface,storage,evaporation,precipitation,capacity,time,do,org-phosphorus,phosphate,ammonia,solids,bod,cod,ph,temperature,nitrate,nitrite,org-nitrogen,percolation,subsurface_r,surface_r,tank_recharge,et0_coef
0,my_land,urban,0.09,0.02,0.15,0.0,2009-03-03,0.0,0.0,6.923076923076922e-07,0.0,0.0,0.0,0.0,0.0,7.625000000000001,0.0,0.0,0.0,,,,,
1,my_land,rural,1.457562715432305,0.042437284567694994,1.5,20.0,2009-03-03,0.0,0.0,9.999999999999999e-06,0.0,0.0,0.0,0.0,0.0,7.921875000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.457562715432305,0.5
2,my_land,urban,0.030999999999999993,0.02,0.001,0.0,2009-03-04,0.0,0.0,7.388949079089923e-07,0.0,0.0,0.0,0.0,0.0,7.625000000000001,0.0,0.0,0.0,,,,,
3,my_land,rural,1.4153017060826107,0.05226100934969432,0.01,20.0,2009-03-04,0.0,0.0,1.9999999999999998e-05,0.0,0.0,0.0,0.0,0.0,7.86210937475,0.0,0.0,0.0,0.0,0.0,0.0,-0.042261009349694324,0.5
4,my_land,urban,0.0,0.02,0.0,0.0,2009-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.625000000000001,0.0,0.0,0.0,,,,,
5,my_land,rural,1.3633552609352309,0.05194644514737989,0.0,20.0,2009-03-05,0.0,0.0,2.9999999999999997e-05,0.0,0.0,0.0,0.0,0.0,7.757763672093751,0.0,0.0,0.0,0.0,0.0,0.0,-0.05194644514737989,0.5
6,my_land,urban,0.0,0.0,0.0,0.0,2009-03-06,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,7.625000000000001,0.0,0.0,0.0,,,,,
7,my_land,rural,1.311792879424338,0.05156238151089282,0.0,20.0,2009-03-06,0.0,0.0,3.9999999999999996e-05,0.0,0.0,0.0,0.0,0.0,7.647845459011719,0.0,0.0,0.0,0.0,0.0,0.0,-0.05156238151089282,0.5
8,my_land,urban,0.0,0.016999999999999998,0.016999999999999998,0.0,2009-03-07,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,7.625000000000001,0.0,0.0,0.0,,,,,
9,my_land,rural,1.4306089137988367,0.051183965625501406,0.16999999999999998,20.0,2009-03-07,0.0,0.0,4.9999999999999996e-05,0.0,0.0,0.0,0.0,0.0,7.531629685001101,0.0,0.0,0.0,0.0,0.0,0.0,0.11881603437449857,0.5
10,my_land,urban,0.0,0.02,0.037000000000000005,0.0,2009-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.979166667,0.0,0.0,0.0,,,,,
11,my_land,rural,1.7485487507857025,0.05206016301313425,0.37,20.0,2009-03-08,0.0,0.0,5.9999999999999995e-05,0.0,0.0,0.0,0.0,0.0,7.413271868965125,0.0,0.0,0.0,0.0,0.0,0.0,0.3179398369868658,0.5
12,my_land,urban,0.0,0.013,0.013,0.0,2009-03-09,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,6.979166667,0.0,0.0,0.0,,,,,
13,my_land,rural,1.8240694946675606,0.05447925611814175,0.13,20.0,2009-03-09,0.0,0.0,7e-05,0.0,0.0,0.0,0.0,0.0,7.311243887000397,0.0,0.0,0.0,0.0,0.0,0.0,0.07552074388185824,0.5
14,my_land,urban,0.0,0.001,0.001,0.0,2009-03-10,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,6.979166667,0.0,0.0,0.0,,,,,
15,my_land,rural,1.7789992974091149,0.055070197258445766,0.01,20.0,2009-03-10,0.0,0.0,7.999999999999999e-05,0.0,0.0,0.0,0.0,0.0,7.63086977137505,0.0,0.0,0.0,0.0,0.0,0.0,-0.045070197258445764,0.5
16,my_land,urban,0.0,0.001,0.001,0.0,2009-03-11,0.0,0.0,3e-06,0.0,0.0,0.0,0.0,0.0,6.979166667,0.0,0.0,0.0,,,,,
17,my_land,rural,1.7342825360640128,0.05471676134510205,0.01,20.0,2009-03-11,0.0,0.0,8.999999999999999e-05,0.0,0.0,0.0,0.0,0.0,8.000287293171882,0.0,0.0,0.0,0.0,0.0,0.0,-0.044716761345102045,0.5
18,my_land,urban,0.0,0.001,0.001,0.0,2009-03-12,0.0,0.0,4e-06,0.0,0.0,0.0,0.0,0.0,6.979166667,0.0,0.0,0.0,,,,,
19,my_land,rural,1.6899141972761127,0.054368338787900136,0.01,20.0,2009-03-12,0.0,0.0,9.999999999999999e-05,0.0,0.0,0.0,0.0,0.0,8.375928768896486,0.0,0.0,0.0,0.0,0.0,0.0,-0.04436833878790014,0.5
20,my_land,urban,0.0,0.0,0.0,0.0,2009-03-13,0.0,0.0,4.9999999999999996e-06,0.0,0.0,0.0,0.0,0.0,6.979166667,0.0,0.0,0.0,,,,,
