lucode,Meaning,area,Kc_ini,Kc_mid,Kc_end,cc_s1,cc_s2,cc_s3,cc_s4,cc_h,Zr,p,fer_N_year,fer_P_year
PG01,Grass,299.56448,0.4,0.95,0.85,3-1,3-11,4-1,8-1,12-1,1,0.6,8143.706357,2802.977611
WO12,"Trees and Scrubs, short Woody plants, hedgerows",135.406636,0.15,0.9,0.15,1-1,4-1,5-15,10-15,12-31,1.75,0.75,7480.793653,2622.902391
AC66,Winter Wheat,123.042536,0.4,1.15,0.325,10-1,12-1,3-15,7-1,9-1,1.65,0.55,8991.370863,3235.661974
AC67,Winter Oilseed,70.606284,0.35,1.15,0.35,9-15,11-1,3-1,6-15,8-15,1.25,0.6,9065.715785,3241.743954
AC01,Spring Barley,55.270644,0.3,1.15,0.25,3-1,4-1,5-1,7-15,9-1,1.25,0.55,8811.092663,3135.564563
AC63,Winter Barley,26.935036,0.3,1.15,0.25,9-15,11-1,2-15,6-1,8-1,1.25,0.55,8394.717774,3097.521422
AC17,Maize,21.9229,0.3,1.2,0.475,3-1,4-1,5-10,7-1,8-1,1.35,0.55,8385.576266,3082.732253
LG20,Winter Field beans,21.760816,0.5,1.05,0.9,11-1,2-1,3-15,4-25,6-25,0.6,0.45,8646.852478,3067.483711
AC19,Spring Oats,15.83436,0.3,1.15,0.25,3-1,5-1,7-15,10-1,12-1,1.25,0.55,8139.727475,3165.04843
LG03,Spring Field beans,13.79792,0.5,1.05,0.9,3-1,3-20,4-20,5-20,6-1,0.6,0.45,8473.34072,3131.946593
